re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
1600,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,6.196300e-08,9.694378e-08,4.491513e-08,3.744136e-08,6.484082e-08,7.989787e-08
1600,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,6.890544e-08,8.599318e-08,4.163660e-08,6.598690e-08,6.369365e-08,7.675877e-08
1600,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,5.715561e-08,8.178770e-08,3.757287e-08,4.190067e-08,5.898164e-08,6.658180e-08
1600,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,7.509576e-08,9.331317e-08,5.920449e-08,5.093708e-08,8.173983e-08,6.070782e-08
1700,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,8.535802e-08,1.782068e-07,4.904643e-08,5.087144e-08,1.398929e-07,1.154747e-07
1700,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,8.475568e-08,1.715068e-07,6.693539e-08,4.835988e-08,1.364210e-07,1.132185e-07
1700,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,8.674020e-08,1.573879e-07,6.752641e-08,4.843814e-08,1.251176e-07,1.062259e-07
1700,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,7.262084e-08,1.365111e-07,5.426512e-08,5.228374e-08,1.062650e-07,9.781109e-08
1700,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,7.402404e-08,1.344135e-07,7.194574e-08,4.389018e-08,1.154834e-07,9.000088e-08
1700,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,6.585695e-08,1.126452e-07,3.947794e-08,4.542962e-08,7.304744e-08,9.263828e-08
1700,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,6.252339e-08,9.913250e-08,4.870286e-08,4.571097e-08,6.965299e-08,8.488487e-08
1700,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,6.127223e-08,1.023900e-07,4.414414e-08,3.278363e-08,7.223922e-08,7.929223e-08
1700,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,6.163050e-08,8.438374e-08,4.307594e-08,3.371506e-08,6.093782e-08,6.372142e-08
1800,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,1.070706e-07,2.186089e-07,6.224041e-08,6.196365e-08,1.773836e-07,1.304659e-07
1800,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,9.760708e-08,1.944163e-07,5.493447e-08,5.228038e-08,1.497997e-07,1.265723e-07
1800,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,8.715826e-08,1.711564e-07,5.049601e-08,4.499707e-08,1.322103e-07,1.103802e-07
1800,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,8.075543e-08,1.519305e-07,4.625064e-08,4.980022e-08,1.051181e-07,1.134316e-07
1800,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,8.822232e-08,1.585455e-07,7.059081e-08,6.511419e-08,1.337398e-07,1.063616e-07
1800,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,7.633406e-08,1.398575e-07,4.138142e-08,4.289950e-08,9.762437e-08,1.024273e-07
1800,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,6.922712e-08,1.186137e-07,4.056214e-08,4.493163e-08,8.731020e-08,8.542060e-08
1800,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,6.174751e-08,1.040092e-07,3.473099e-08,3.843160e-08,6.990550e-08,8.110458e-08
1800,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,5.844733e-08,9.569448e-08,3.766760e-08,3.769969e-08,6.396495e-08,7.707228e-08
1900,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,1.198501e-07,2.272305e-07,9.748481e-08,6.341369e-08,1.945901e-07,1.294152e-07
1900,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,1.012666e-07,2.000581e-07,5.912579e-08,5.839463e-08,1.583879e-07,1.259350e-07
1900,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,9.078682e-08,1.762866e-07,5.119881e-08,5.445595e-08,1.306079e-07,1.223337e-07
1900,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,8.618289e-08,1.595435e-07,5.620289e-08,5.347903e-08,1.158045e-07,1.163931e-07
1900,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,8.040698e-08,1.440055e-07,6.362450e-08,5.453643e-08,1.095850e-07,1.064638e-07
1900,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,7.976481e-08,1.325412e-07,4.949226e-08,4.364610e-08,8.556071e-08,1.054114e-07
1900,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,6.710201e-08,1.093134e-07,3.638745e-08,4.056557e-08,6.346377e-08,9.290254e-08
1900,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,6.343772e-08,1.010872e-07,3.528939e-08,4.712286e-08,6.417940e-08,8.415273e-08
1900,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,6.459797e-08,1.030633e-07,4.789793e-08,3.750904e-08,7.771705e-08,7.696411e-08
