ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.4x1,400,1.4,1.0,0.6923443204756335,False,2.2062135e-08,4.669047e-08,4.5357588e-08,3.0488792e-08,4.9975036e-08,5.122379e-08,
1.4x1,500,1.4,1.0,0.6923443204756335,False,2.585739e-08,7.66218e-09,2.598123e-08,3.203178e-08,1.5388128e-08,3.2628822e-08,
1.4x1,600,1.4,1.0,0.6923443204756335,False,2.0973603e-08,2.2469258e-08,2.8583212e-08,3.7763982e-08,3.1172046e-08,4.1941888e-08,
1.4x1,700,1.4,1.0,0.6923443204756335,False,2.9330046e-08,1.72506e-08,2.0648823e-08,4.047722e-08,2.602668e-08,3.67759e-08,
1.4x1,800,1.4,1.0,0.6923443204756335,False,3.3978125e-08,3.525119e-08,3.2268925e-08,4.9611977e-08,4.3978446e-08,5.4124367e-08,
1.4x1,900,1.4,1.0,0.6923443204756335,False,1.7423423e-08,2.259268e-08,3.0942527e-08,4.2386386e-08,4.1721577e-08,5.650594e-08,
1.5x1,100,1.5,1.0,0.7060113295832983,False,5.0580336e-08,3.3300516e-08,6.314032e-08,7.8055315e-08,5.3430593e-08,9.355242e-08,
1.5x1,1000,1.5,1.0,0.7060113295832983,False,3.0846213e-08,1.971184e-08,3.2680003e-08,5.1953542e-08,4.2681737e-08,6.110601e-08,
1.5x1,1100,1.5,1.0,0.7060113295832983,False,2.5469314e-08,2.8506514e-08,3.8807887e-08,5.7484815e-08,5.5232103e-08,7.6024335e-08,
1.5x1,1200,1.5,1.0,0.7060113295832983,False,2.6854098e-08,3.0247353e-08,4.3215934e-08,5.3807963e-08,5.7624376e-08,7.516576e-08,
1.5x1,1300,1.5,1.0,0.7060113295832983,False,3.11646e-08,3.086197e-08,4.7421004e-08,6.676449e-08,6.3389365e-08,8.836223e-08,
1.5x1,1400,1.5,1.0,0.7060113295832983,False,2.6452518e-08,3.2205318e-08,4.7113968e-08,5.4944824e-08,6.7317075e-08,8.362522e-08,
1.5x1,1500,1.5,1.0,0.7060113295832983,False,3.3428744e-08,3.9712127e-08,5.2442694e-08,5.6957166e-08,6.660743e-08,8.047869e-08,
1.5x1,1600,1.5,1.0,0.7060113295832983,False,4.2847745e-08,4.137209e-08,5.7436985e-08,7.386239e-08,6.8233774e-08,9.327065e-08,
1.5x1,1700,1.5,1.0,0.7060113295832983,False,7.194574e-08,4.3890182e-08,7.402404e-08,1.1548335e-07,9.000088e-08,1.3441354e-07,
1.5x1,1800,1.5,1.0,0.7060113295832983,False,7.059081e-08,6.5114186e-08,8.822232e-08,1.3373983e-07,1.0636165e-07,1.5854555e-07,
1.5x1,1900,1.5,1.0,0.7060113295832983,False,6.3624505e-08,5.4536425e-08,8.0406984e-08,1.0958499e-07,1.064638e-07,1.4400548e-07,
1.5x1,200,1.5,1.0,0.7060113295832983,False,4.7336716e-08,1.7221666e-08,4.9550675e-08,6.784219e-08,3.587054e-08,7.492867e-08,
1.5x1,2000,1.5,1.0,0.7060113295832983,False,5.906954e-08,4.7477236e-08,8.647771e-08,1.2028454e-07,1.1104192e-07,1.5957296e-07,
1.5x1,2100,1.5,1.0,0.7060113295832983,False,5.6337278e-08,5.4988146e-08,9.523199e-08,1.2792414e-07,1.1640917e-07,1.7071532e-07,
1.5x1,300,1.5,1.0,0.7060113295832983,False,3.4072567e-08,2.9702582e-08,3.9243133e-08,4.1275662e-08,4.2792315e-08,5.2155155e-08,
1.5x1,400,1.5,1.0,0.7060113295832983,False,2.4960926e-08,1.2486535e-08,2.7669623e-08,4.0472585e-08,2.3261379e-08,4.4725223e-08,
1.5x1,500,1.5,1.0,0.7060113295832983,False,2.6415758e-08,7.848135e-09,2.2997957e-08,3.5146915e-08,1.6879063e-08,3.487296e-08,
1.5x1,600,1.5,1.0,0.7060113295832983,False,1.25552235e-08,2.1724931e-08,2.1140234e-08,2.1889898e-08,2.588757e-08,2.7216217e-08,
1.5x1,700,1.5,1.0,0.7060113295832983,False,6.214833e-08,3.3118877e-08,5.747934e-08,6.483492e-08,3.931473e-08,6.292183e-08,
1.5x1,800,1.5,1.0,0.7060113295832983,False,1.4184462e-08,4.8356235e-08,3.7614463e-08,3.2560592e-08,5.4937914e-08,4.9655117e-08,
1.5x1,900,1.5,1.0,0.7060113295832983,False,3.9295962e-08,2.924183e-08,3.3266378e-08,5.8652144e-08,4.0535227e-08,5.9436356e-08,
1.6x1,100,1.6,1.0,0.7220634596563533,False,4.541932e-08,2.739531e-08,5.967394e-08,8.306888e-08,4.8409884e-08,9.5768385e-08,
1.6x1,1000,1.6,1.0,0.7220634596563533,False,5.1068728e-08,2.1998225e-08,4.271875e-08,6.4364805e-08,4.390069e-08,6.625173e-08,
