ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.5x1,1100,1.5,1.0,0.7060113295832983,False,7.4210774e-08,3.760166e-07,3.1237818e-07,1.554659e-07,7.285126e-07,6.2333885e-07,
1.5x1,1200,1.5,1.0,0.7060113295832983,False,7.790533e-08,3.9260016e-07,3.0792611e-07,1.8374487e-07,7.236675e-07,6.0483484e-07,
1.5x1,1300,1.5,1.0,0.7060113295832983,False,1.06562666e-07,4.0701394e-07,3.2577242e-07,2.3857987e-07,8.0446796e-07,6.6967266e-07,
1.5x1,1400,1.5,1.0,0.7060113295832983,False,1.3430399e-07,4.2291717e-07,3.390876e-07,2.60752e-07,8.4816645e-07,7.1472306e-07,
1.5x1,1500,1.5,1.0,0.7060113295832983,False,1.4021293e-07,4.4810886e-07,3.5421857e-07,2.8234248e-07,8.695617e-07,7.032496e-07,
1.5x1,1600,1.5,1.0,0.7060113295832983,False,1.3844665e-07,4.62145e-07,3.8540807e-07,2.526473e-07,8.9289193e-07,7.178691e-07,
1.5x1,1700,1.5,1.0,0.7060113295832983,False,1.0782963e-07,4.146404e-07,3.0550115e-07,2.728908e-07,7.9227533e-07,6.1597683e-07,
1.5x1,1800,1.5,1.0,0.7060113295832983,False,1.352773e-07,4.4265687e-07,3.2604098e-07,3.1792786e-07,8.383797e-07,6.4996283e-07,
1.5x1,1900,1.5,1.0,0.7060113295832983,False,1.2470908e-07,4.898608e-07,3.6063244e-07,3.2337468e-07,9.215738e-07,7.218063e-07,
1.5x1,200,1.5,1.0,0.7060113295832983,False,3.2607026e-08,2.601258e-07,2.5036366e-07,5.1156828e-08,5.0796183e-07,4.898772e-07,
1.5x1,2000,1.5,1.0,0.7060113295832983,False,1.3057412e-07,5.2524604e-07,3.934408e-07,3.2140173e-07,1.0005683e-06,7.706611e-07,
1.5x1,2100,1.5,1.0,0.7060113295832983,False,1.5143438e-07,5.4543307e-07,4.085518e-07,3.4887265e-07,1.050953e-06,8.122162e-07,
1.5x1,300,1.5,1.0,0.7060113295832983,False,4.468946e-08,2.6017742e-07,2.5073297e-07,5.545923e-08,4.9655307e-07,4.7163215e-07,
1.5x1,400,1.5,1.0,0.7060113295832983,False,3.467295e-08,2.6130775e-07,2.3773212e-07,7.194527e-08,5.0473824e-07,4.654149e-07,
1.5x1,500,1.5,1.0,0.7060113295832983,False,4.808734e-08,2.6235088e-07,2.3561721e-07,8.9607646e-08,5.2969307e-07,4.815582e-07,
1.5x1,600,1.5,1.0,0.7060113295832983,False,6.208455e-08,2.5822743e-07,2.215525e-07,1.2481647e-07,5.207024e-07,4.6281613e-07,
1.5x1,700,1.5,1.0,0.7060113295832983,False,7.0301965e-08,2.9314108e-07,2.6059948e-07,1.2531811e-07,5.800082e-07,5.0684775e-07,
1.5x1,800,1.5,1.0,0.7060113295832983,False,1.10909696e-07,3.0513797e-07,2.5535567e-07,1.8721501e-07,6.0004976e-07,5.2640786e-07,
1.5x1,900,1.5,1.0,0.7060113295832983,False,6.411235e-08,3.1960764e-07,2.630718e-07,1.4967664e-07,6.421807e-07,5.547376e-07,
1.6x1,100,1.6,1.0,0.7220634596563533,False,1.823589e-08,2.393547e-07,2.407011e-07,2.2193431e-08,4.7919076e-07,4.7013862e-07,
1.6x1,1000,1.6,1.0,0.7220634596563533,False,5.901085e-08,3.311057e-07,2.7085284e-07,1.4569912e-07,6.648461e-07,5.756352e-07,
1.6x1,1100,1.6,1.0,0.7220634596563533,False,1.247252e-07,3.4545505e-07,2.8257614e-07,2.399463e-07,6.8755054e-07,5.853808e-07,
1.6x1,1200,1.6,1.0,0.7220634596563533,False,7.5245126e-08,4.0669732e-07,3.2343797e-07,1.8589361e-07,7.6820703e-07,6.436775e-07,
1.6x1,1300,1.6,1.0,0.7220634596563533,False,8.331864e-08,4.0926665e-07,3.4608698e-07,1.6910413e-07,8.008351e-07,6.7934747e-07,
1.6x1,1400,1.6,1.0,0.7220634596563533,False,8.2027135e-08,4.6802967e-07,3.7494135e-07,1.9397424e-07,8.85723e-07,7.4569283e-07,
1.6x1,1500,1.6,1.0,0.7220634596563533,False,1.06995934e-07,4.5406208e-07,3.5381703e-07,2.4826502e-07,8.59355e-07,6.9881276e-07,
1.6x1,1600,1.6,1.0,0.7220634596563533,False,1.1620473e-07,4.7195476e-07,3.7286728e-07,2.502263e-07,9.04142e-07,7.321122e-07,
1.6x1,1700,1.6,1.0,0.7220634596563533,False,1.0652765e-07,4.3859058e-07,3.4397758e-07,2.287177e-07,8.322199e-07,6.811084e-07,
1.6x1,1800,1.6,1.0,0.7220634596563533,False,1.3604851e-07,4.598536e-07,3.3806876e-07,2.9201226e-07,8.433334e-07,6.5985694e-07,
1.6x1,1900,1.6,1.0,0.7220634596563533,False,1.262154e-07,4.9041813e-07,3.6348914e-07,3.1391943e-07,9.154114e-07,7.130431e-07,
