re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
1400,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,3.183527e-07,6.636408e-07,1.010868e-07,4.237149e-07,2.383880e-07,8.196754e-07
1400,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.301135e-07,6.630673e-07,1.039497e-07,4.227671e-07,2.326935e-07,8.164154e-07
1400,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.390876e-07,7.147231e-07,1.343040e-07,4.229172e-07,2.607520e-07,8.481665e-07
1400,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.749414e-07,7.456928e-07,8.202714e-08,4.680297e-07,1.939742e-07,8.857230e-07
1400,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.703693e-07,7.338598e-07,7.933915e-08,4.534881e-07,1.862325e-07,8.729078e-07
1400,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.820326e-07,7.236386e-07,8.023308e-08,4.586496e-07,1.711477e-07,8.553877e-07
1400,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.929635e-07,7.488122e-07,8.460017e-08,4.676856e-07,1.752289e-07,8.788058e-07
1500,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,3.172603e-07,6.333116e-07,1.057783e-07,4.067891e-07,2.359825e-07,8.088721e-07
1500,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,3.101938e-07,6.550698e-07,1.654504e-07,4.158509e-07,3.292631e-07,8.326334e-07
1500,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,3.280391e-07,6.842103e-07,8.494161e-08,4.286561e-07,2.401534e-07,8.449471e-07
1500,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.275487e-07,6.801197e-07,1.811806e-07,4.243755e-07,3.437950e-07,8.355396e-07
1500,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.542186e-07,7.032496e-07,1.402129e-07,4.481089e-07,2.823425e-07,8.695617e-07
1500,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.538170e-07,6.988128e-07,1.069959e-07,4.540621e-07,2.482650e-07,8.593550e-07
1500,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.804220e-07,7.491144e-07,1.372977e-07,4.670849e-07,2.738956e-07,9.033867e-07
1500,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.717090e-07,7.305568e-07,8.462242e-08,4.530846e-07,1.932342e-07,8.737222e-07
1500,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,4.094058e-07,7.522011e-07,8.312401e-08,4.965670e-07,1.778261e-07,8.984510e-07
1600,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.965562e-07,6.385744e-07,1.576199e-07,4.146702e-07,3.515053e-07,8.312618e-07
1600,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,3.038362e-07,6.394204e-07,1.151956e-07,4.141738e-07,2.899837e-07,8.253172e-07
1600,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,3.324829e-07,6.729337e-07,1.144618e-07,4.433412e-07,2.814957e-07,8.670279e-07
1600,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.314893e-07,6.814735e-07,1.373123e-07,4.354787e-07,3.091359e-07,8.651793e-07
1600,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.854081e-07,7.178691e-07,1.384467e-07,4.621450e-07,2.526473e-07,8.928919e-07
1600,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.728673e-07,7.321122e-07,1.162047e-07,4.719548e-07,2.502263e-07,9.041420e-07
1600,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,3.857473e-07,7.513136e-07,1.346265e-07,4.816431e-07,2.758204e-07,9.198818e-07
1600,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.674851e-07,7.090662e-07,1.111112e-07,4.654073e-07,2.439585e-07,8.736241e-07
1600,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.964196e-07,7.634796e-07,7.901203e-08,4.865731e-07,1.855160e-07,9.103714e-07
1700,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.743758e-07,5.764779e-07,1.693167e-07,4.090073e-07,3.943361e-07,7.739644e-07
